common_name,link,scientific_name,status_in_uk,pairs_text,field_code_1,field_code_2,roughly_how_common
Capercaillie,http://app.bto.org/birdfacts/results/bob3350.htm,Tetrao urogallus,Re-introduced Breeder,1000 - 10000 Adults,CP,CAPER,3162.2776601683804
Black Grouse,http://app.bto.org/birdfacts/results/bob3320.htm,Lyrurus tetrix,Resident Breeder,1000 - 10000 Males,BK,BLAGR,3162.2776601683804
Ptarmigan,http://app.bto.org/birdfacts/results/bob3300.htm,Lagopus muta,Resident Breeder,1000 - 10000 Pairs,PM,PTARM,3162.2776601683804
Red Grouse,http://app.bto.org/birdfacts/results/bob3292.htm,Lagopus lagopus,Resident Breeder,100000 - 500000 Pairs,RG,REDGR,223606.79774997893
Red-legged Partridge,http://app.bto.org/birdfacts/results/bob3580.htm,Alectoris rufa,Introduced Breeder,10000 - 100000 Territories,RL,RELPA,31622.77660168378
Grey Partridge,http://app.bto.org/birdfacts/results/bob3670.htm,Perdix perdix,Resident/Introduced Breeder,10000 - 100000 Territories,P.,GREPA,31622.77660168378
Quail,http://app.bto.org/birdfacts/results/bob3700.htm,Coturnix coturnix,Migrant Breeder,500 - 1000 Males,Q.,QUAIL,707.1067811865473
Pheasant,http://app.bto.org/birdfacts/results/bob3940.htm,Phasianus colchicus,Introduced Breeder,4E06 Birds,PH,PHEAS,4000000.0
Golden Pheasant,http://app.bto.org/birdfacts/results/bob3960.htm,Chrysolophus pictus,Introduced Breeder,100-500 Pairs,GF,GOLPH,223.606797749979
Lady Amherst’s Pheasant,http://app.bto.org/birdfacts/results/bob3970.htm,Chrysolophus amherstiae,Introduced Breeder,1-10 Males,LM,LAAPH,3.1622776601683795
Brent Goose,http://app.bto.org/birdfacts/results/bob1680.htm,Branta bernicla,Winter Visitor,100000 - 500000 Birds,BG,BREGO,223606.79774997893
Red-breasted Goose,http://app.bto.org/birdfacts/results/bob1690.htm,Branta ruficollis,Accidental,10 - 100 Records,EB,REBGO,31.622776601683803
Canada Goose,http://app.bto.org/birdfacts/results/bob1660.htm,Branta canadensis,"Introduced Breeder, Accidental",10000 - 100000 Pairs,CG,CANGO,31622.77660168378
Cackling Goose,http://app.bto.org/birdfacts/results/bob1664.htm,Branta hutchinsii,Accidental,10 - 100 Records,LQ,,31.622776601683803
Barnacle Goose,http://app.bto.org/birdfacts/results/bob1670.htm,Branta leucopsis,"Escaped Breeder, Winter Visitor",100000 - 500000 Birds,BY,BARGO,223606.79774997893
Snow Goose,http://app.bto.org/birdfacts/results/bob1630.htm,Anser caerulescens,Scarce Visitor,10 - 100 Birds,SJ,SNOGO,31.622776601683803
Greylag Goose,http://app.bto.org/birdfacts/results/bob1610.htm,Anser anser,"Introduced/Resident Breeder, Winter Migrant",10000 - 100000 Pairs,GJ,GREGO,31622.77660168378
Taiga Bean Goose,http://app.bto.org/birdfacts/results/bob1571.htm,Anser fabalis,Winter Migrant,100-500 Birds,XF,,223.606797749979
Tundra Bean Goose,http://app.bto.org/birdfacts/results/bob1574.htm,Anser serrirostris,Winter Migrant,100-500 Birds,XR,,223.606797749979
Pink-footed Goose,http://app.bto.org/birdfacts/results/bob1580.htm,Anser brachyrhynchus,Winter Migrant,500000 - 1E06 Birds,PG,PIFGO,707106.7811865465
White-fronted Goose,http://app.bto.org/birdfacts/results/bob1590.htm,Anser albifrons,Winter Migrant,10000 - 100000 Birds,WG,WHFGO,31622.77660168378
Lesser White-fronted Goose,http://app.bto.org/birdfacts/results/bob1600.htm,Anser erythropus,Accidental,100-500 Records,LC,LWFGO,223.606797749979
Mute Swan,http://app.bto.org/birdfacts/results/bob1520.htm,Cygnus olor,Resident/Introduced Breeder,1000 - 10000 Pairs,MS,MUTSW,3162.2776601683804
Bewick's Swan,http://app.bto.org/birdfacts/results/bob1530.htm,Cygnus columbianus,Winter Migrant,1000 - 10000 Birds,BS,BEWSW,3162.2776601683804
Whooper Swan,http://app.bto.org/birdfacts/results/bob1540.htm,Cygnus cygnus,"Scarce Breeder, Winter Migrant",10000 - 100000 Birds,WS,WHOSW,31622.77660168378
Egyptian Goose,http://app.bto.org/birdfacts/results/bob1700.htm,Alopochen aegyptiaca,Introduced Breeder,1000 - 10000 Pairs,EG,EGYGO,3162.2776601683804
Shelduck,http://app.bto.org/birdfacts/results/bob1730.htm,Tadorna tadorna,"Migrant/Resident Breeder, Winter Visitor",10000 - 100000 Pairs,SU,SHELD,31622.77660168378
Ruddy Shelduck,http://app.bto.org/birdfacts/results/bob1710.htm,Tadorna ferruginea,"Escaped, Former Visitor (Last Record 1946)",1-10 Records,UD,RUDSH,3.1622776601683795
Mandarin Duck,http://app.bto.org/birdfacts/results/bob1780.htm,Aix galericulata,Introduced Breeder,1000 - 10000 Pairs,MN,MANDA,3162.2776601683804
Baikal Teal,http://app.bto.org/birdfacts/results/bob1830.htm,Sibirionetta formosa,Accidental,1-10 Records,IK,BAITE,3.1622776601683795
Garganey,http://app.bto.org/birdfacts/results/bob1910.htm,Spatula querquedula,"Migrant Breeder, Passage Visitor",100-500 Pairs,GY,GARGA,223.606797749979
Blue-winged Teal,http://app.bto.org/birdfacts/results/bob1920.htm,Spatula discors,Scarce Visitor,100-500 Records,TB,BLWTE,223.606797749979
Shoveler,http://app.bto.org/birdfacts/results/bob1940.htm,Spatula clypeata,"Migrant Breeder, Passage/Winter Visitor",500 - 1000 Pairs,SV,SHOVE,707.1067811865473
Gadwall,http://app.bto.org/birdfacts/results/bob1820.htm,Mareca strepera,"Migrant/Resident Breeder, Winter Visitor",1000 - 10000 Pairs,GA,GADWA,3162.2776601683804
Falcated Duck,http://app.bto.org/birdfacts/results/bob1810.htm,Mareca falcata,Accidental,1-10 Records,,,3.1622776601683795
Wigeon,http://app.bto.org/birdfacts/results/bob1790.htm,Mareca penelope,"Resident Breeder, Winter Visitor",100000 - 500000 Birds,WN,WIGEO,223606.79774997893
American Wigeon,http://app.bto.org/birdfacts/results/bob1800.htm,Mareca americana,Scarce Visitor,10 - 100 Birds,AW,AMEWI,31.622776601683803
Mallard,http://app.bto.org/birdfacts/results/bob1860.htm,Anas platyrhynchos,"Introduced/Resident Breeder, Winter Visitor",100000 - 500000 Pairs,MA,MALLA,223606.79774997893
American Black Duck,http://app.bto.org/birdfacts/results/bob1870.htm,Anas rubripes,Accidental,10 - 100 Records,BD,BLADU,31.622776601683803
Pintail,http://app.bto.org/birdfacts/results/bob1890.htm,Anas acuta,"Resident/Migrant Breeder, Winter Visitor",10000 - 100000 Birds,PT,PINTA,31622.77660168378
Teal,http://app.bto.org/birdfacts/results/bob1840.htm,Anas crecca,"Resident Breeder, Passage/Winter Visitor",1000 - 10000 Pairs,T.,TEAL.,3162.2776601683804
Green-winged Teal,http://app.bto.org/birdfacts/results/bob1842.htm,Anas carolinensis,Scarce Visitor,10 - 100 Birds,TA,GRWTE,31.622776601683803
Red-crested Pochard,http://app.bto.org/birdfacts/results/bob1960.htm,Netta rufina,"Escaped Breeder, Scarce Visitor",500 - 1000 Birds,RQ,RECPO,707.1067811865473
Canvasback,http://app.bto.org/birdfacts/results/bob1970.htm,Aythya valisineria,Accidental,1-10 Records,VB,,3.1622776601683795
Redhead,http://app.bto.org/birdfacts/results/bob1990.htm,Aythya americana,Accidental,1-10 Records,AZ,,3.1622776601683795
Pochard,http://app.bto.org/birdfacts/results/bob1980.htm,Aythya ferina,"Migrant/Resident Breeder, Passage/Winter Visitor",10000 - 100000 Birds,PO,POCHA,31622.77660168378
Ferruginous Duck,http://app.bto.org/birdfacts/results/bob2020.htm,Aythya nyroca,Accidental,1-10 Birds,FD,FERDU,3.1622776601683795
Ring-necked Duck,http://app.bto.org/birdfacts/results/bob2000.htm,Aythya collaris,Scarce Visitor,10 - 100 Birds,NG,RINDU,31.622776601683803
Tufted Duck,http://app.bto.org/birdfacts/results/bob2030.htm,Aythya fuligula,"Resident Breeder, Passage/Winter Visitor",10000 - 100000 Pairs,TU,TUFDU,31622.77660168378
Scaup,http://app.bto.org/birdfacts/results/bob2040.htm,Aythya marila,"Scarce Breeder, Passage/Winter Visitor",1000 - 10000 Birds,SP,SCAUP,3162.2776601683804
Lesser Scaup,http://app.bto.org/birdfacts/results/bob2050.htm,Aythya affinis,Scarce Visitor,1-10 Birds,AY,,3.1622776601683795
Steller’s Eider,http://app.bto.org/birdfacts/results/bob2090.htm,Polysticta stelleri,Accidental,10 - 100 Records,ES,STEEI,31.622776601683803
King Eider,http://app.bto.org/birdfacts/results/bob2070.htm,Somateria spectabilis,Accidental,100-500 Records,KE,KINEI,223.606797749979
Eider,http://app.bto.org/birdfacts/results/bob2060.htm,Somateria mollissima,"Resident Breeder, Winter Visitor",10000 - 100000 Pairs,E.,EIDER,31622.77660168378
Harlequin Duck,http://app.bto.org/birdfacts/results/bob2110.htm,Histrionicus histrionicus,Accidental,10 - 100 Records,HQ,HARDU,31.622776601683803
Surf Scoter,http://app.bto.org/birdfacts/results/bob2140.htm,Melanitta perspicillata,Scarce Visitor,10 - 100 Birds,FS,SURSC,31.622776601683803
Velvet Scoter,http://app.bto.org/birdfacts/results/bob2151.htm,Melanitta fusca,Passage/Winter Visitor,1000 - 10000 Birds,VS,VELSC,3162.2776601683804
White-winged Scoter,http://app.bto.org/birdfacts/results/bob2152.htm,Melanitta deglandi,Accidental,1-10 Records,,,3.1622776601683795
Common Scoter,http://app.bto.org/birdfacts/results/bob2130.htm,Melanitta nigra,"Resident/Migrant Breeder, Passage/Winter Visitor",100000 - 500000 Birds,CX,COMSC,223606.79774997893
Black Scoter,http://app.bto.org/birdfacts/results/bob2132.htm,Melanitta americana,Accidental,10 - 100 Records,DX,BLASC,31.622776601683803
Long-tailed Duck,http://app.bto.org/birdfacts/results/bob2120.htm,Clangula hyemalis,"Scarce Breeder, Winter Visitor",10000 - 100000 Birds,LN,LOTDU,31622.77660168378
Bufflehead,http://app.bto.org/birdfacts/results/bob2160.htm,Bucephala albeola,Accidental,10 - 100 Records,VH,BUFFL,31.622776601683803
Goldeneye,http://app.bto.org/birdfacts/results/bob2180.htm,Bucephala clangula,"Resident Breeder, Passage/Winter Visitor",100-500 Females,GN,GOLDE,223.606797749979
Barrow’s Goldeneye,http://app.bto.org/birdfacts/results/bob2170.htm,Bucephala islandica,Accidental,1-10 Records,VG,BRWGO,3.1622776601683795
