"firstname","freq"
"a-jay",1.98733333333333e-05
"a'isha",2.47666666666667e-05
"a'ishah",2.03e-05
"aa'ishah",1.01e-05
"aaban",2.2e-05
"aabid",9.42e-06
"aadam",0.000277326666666667
"aadarsh",9.42e-06
"aaden",9.42e-06
"aadhi",9.42e-06
"aadhira",1.35e-05
"aadhithya",9.42e-06
"aadhya",0.000101352
"aadi",3.3725e-05
"aadil",0.000110930666666667
"aaditya",4.08e-05
"aadvik",4.4e-05
"aadya",1.35e-05
"aafia",2.705e-05
"aafiya",1.01e-05
"aafreen",2.03e-05
"aagya",1.01e-05
"aahil",0.000335932
"aaima",5.07e-05
"aairah",0.000121633333333333
"aaisha",0.000100229333333333
"aaishah",3.885e-05
"aaizah",2.03e-05
"aakash",2.40666666666667e-05
"aakifa",1.35e-05
"aakifah",1.35e-05
"aalayah",2.7e-05
"aaleah",1.01e-05
"aaleen",1.01e-05
"aaleyah",5.41e-05
"aalia",7.09e-05
"aaliah",1.01e-05
"aalimah",1.265e-05
"aalisha",1.01e-05
"aaliyah",0.00154224
"aaliyah-grace",1.35e-05
"aaliyah-mai",1.35e-05
"aaliyah-may",1.01e-05
"aaliyan",4.08e-05
"aaman",9.42e-06
"aamar",9.42e-06
"aamena",1.01e-05
"aamenah",1.69e-05
"aamina",0.000158785
"aaminah",0.00023985825
"aamir",9.29448e-05
"aamira",1.01e-05
"aamirah",2.03e-05
"aamiyah",1.01e-05
"aamna",7.6022e-05
"aamnah",1.18e-05
"aanisah",4.05e-05
"aaniya",1.685e-05
"aanvi",1.01e-05
"aanya",8.22046666666667e-05
"aaqib",2.2e-05
"aara",2.53e-05
"aaradhana",1.01e-05
"aaraf",1.26e-05
"aaran",6.75e-05
"aarav",0.0002864775
"aaravi",2.03e-05
"aarian",9.42e-06
"aarib",1.57e-05
"aarif",1.26e-05
"aarifah",2.03e-05
"aarika",1.01e-05
"aarin",1.886e-05
"aarini",1.01e-05
"aarisha",1.01e-05
"aariya",3.48666666666667e-05
"aariyah",2.53e-05
"aariyan",2.19666666666667e-05
"aariz",1.57e-05
"aarna",2.7e-05
"aarnav",1.88e-05
"aaron",0.0058788075
"aaron-james",9.42e-06
"aaron-junior",9.42e-06
"aaronveer",9.42e-06
"aarron",2.985e-05
"aarthi",1.35e-05
"aarti",1.01e-05
"aaruhi",1.01e-05
"aarun",9.42e-06
"aarush",7.2222e-05
"aaruv",1.26e-05
"aarya",0.000110057833333333
"aaryan",0.000222908
"aarzoo",1.01e-05
"aashi",2.47666666666667e-05
"aashika",1.01e-05
"aashir",9.42e-06
"aashish",1.048e-05
"aashna",2.025e-05
"aashni",1.01e-05
"aashvi",2.7e-05
"aasia",1.52e-05
"aasif",9.42e-06
"aasim",2.09333333333333e-05
"aasiya",2.228e-05
"aasiyah",4.73e-05
"aastha",1.01e-05
"aatif",9.42e-06
"aavya",4.73e-05
"aayan",0.000273141
"aayden",9.42e-06
"aayesha",1.01e-05
"aayma",1.01e-05
"aayrah",1.01e-05
"aaysha",1.35e-05
"aayush",5.97e-05
"aayushi",1.69e-05
"aazil",9.42e-06
"aba",1.01e-05
"abaan",5.34e-05
"abas",1.411e-05
"abass",1.048e-05
"abayomi",9.42e-06
"abbaas",1.256e-05
"abbas",0.0001663965
"abbeygail",2.03e-05
"abbeygale",1.01e-05
"abbi",0.000105881666666667
"abbie",0.000906537666666667
"abbie-jai",1.01e-05
"abbie-leigh",1.69e-05
"abbie-may",1.35e-05
"abbie-rose",1.01e-05
"abbiegail",1.18e-05
"abbiegale",1.01e-05
"abbiegayle",1.01e-05
"abbigail",8.78395e-05
"abbigayle",1.01e-05
"abby",0.00055574725
"abby-may",1.01e-05
"abd",2.98e-05
"abdallah",5.65333333333333e-05
"abdel",1.88e-05
"abdellah",9.42e-06
"abdelrahman",1.725e-05
"abderrahman",9.42e-06
"abderrahmane",1.26e-05
"abdi",6.12e-05
"abdiaziz",9.42e-06
"abdifatah",9.42e-06
"abdihafid",1.26e-05
"abdihamid",9.42e-06
"abdikarim",1.101e-05
"abdilahi",1.101e-05
"abdillahi",1.256e-05
"abdimalik",3.925e-05
"abdinasir",1.26e-05
"abdiqani",1.101e-05
"abdirahim",2.83e-05
"abdirahman",0.000155408
"abdirashid",9.42e-06
"abdirisaq",1.26e-05
"abdirizak",9.42e-06
"abdisamad",1.57e-05
"abdishakur",1.57e-05
"abdoulie",1.101e-05
"abdu",9.42e-06
"abdul",0.0008775045
"abdul-ahad",2.2e-05
"abdul-aziz",9.42e-06
"abdul-hadi",5.02e-05
"abdul-kareem",1.57e-05
"abdul-latif",9.42e-06
"abdul-malik",1.26e-05
"abdul-muiz",9.42e-06
"abdul-nasir",9.42e-06
"abdul-raheem",4.08e-05
"abdul-rahim",9.42e-06
"abdul-rahman",1.88e-05
"abdul-sami",1.101e-05
"abdulahad",1.725e-05
"abdulahi",3.66533333333333e-05
"abdulai",9.42e-06
"abdulazeez",9.42e-06
"abdulaziz",4.71e-05
"abdulhadi",1.571e-05
"abdulhakeem",9.42e-06
"abdulhakim",9.42e-06
"abdulhameed",9.42e-06
"abdulilah",9.42e-06
"abdulkadir",1.26e-05
"abdulkareem",1.26e-05
"abdulla",1.88e-05
"abdullaahi",9.42e-06
"abdullah",0.000885353
"abdullahi",0.000113024
"abdulmalik",3.266e-05
"abdulqadir",1.57e-05
"abdulraheem",1.57e-05
"abdulrahim",1.411e-05
"abdulrahman",8.47805e-05
"abdulrehman",2.2e-05
"abdulsamad",1.101e-05
"abdulwahab",9.42e-06
