Common name,Scientific name
Bearded Tit,Panurus biarmicus
Common Redstart,Phoenicurus phoenicurus
Black Redstart,Phoenicurus ochruros
Black-Headed Gull,Chroicocephalus ridibundus
Blackbird,Turdus merula
Blackcap,Sylvia atricapilla
Blue Tit,Cyanistes caeruleus
Bullfinch,Pyrrhula pyrrhula
Carrion Crow,Corvus corone
Cetti'S Warbler,Cettia cetti
Chaffinch,Fringilla coelebs
Chiffchaff,Phylloscopus collybita
Coal Tit,Periparus ater
Collared Dove,Streptopelia decaocto
Buzzard,Buteo buteo
Common Tern,Sterna hirundo
Corn Bunting,Emberiza calandra
Cuckoo,Cuculus canorus
Dunnock,Prunella modularis
Firecrest,Regulus ignicapilla
Garden Warbler,Sylvia borin
Goldcrest,Regulus regulus
Goldfinch,Carduelis carduelis
Goldfinch,Carduelis carduelis
Goshawk,Accipiter gentilis
Great Spotted-Woodpecker,Dendrocopos major
Great Tit,Parus major
Green Woodpecker,Picus viridis
Greenfinch,Chloris chloris
Grey Partridge,Perdix perdix
Grey Wagtail,Motacilla cinerea
Herring Gull,Larus argentatus
House Martin,Delichon urbicum
House Sparrow,Passer domesticus
Jackdaw,Coloeus monedula
Jay,Garrulus glandarius
Kestrel,Falco tinnunculus
Kingfisher,Alcedo atthis
Lesser Black-Backed Gull,Larus fuscus
Lesser Whitethroat,Sylvia curruca
Linnet,Linaria cannabina
Long-Tailed Tit,Aegithalos caudatus
Magpie,Pica pica
Marsh Harrier,Circus aeruginosus
Marsh Tit,Poecile palustris
Meadow Pipit,Anthus pratensis
Mistle Thrush,Turdus viscivorus
Nightingale,Luscinia megarhynchos
Nuthatch,Sitta europaea
Peregrine,Falco peregrinus
Pied Wagtail,Motacilla alba
Red Partridge,Alectoris rufa
Reed Bunting,Emberiza schoeniclus
Reed Warbler,Acrocephalus scirpaceus
Ring-Necked Parakeet,Psittacula krameri
Robin,Erithacus rubecula
Rook,Corvus frugilegus
Sand Martin,Riparia riparia
Sedge Warbler,Acrocephalus schoenobaenus
Skylark,Alauda arvensis
Song Thrush,Turdus philomelos
Sparrowhawk,Accipiter nisus
Starling,Sturnus vulgaris
Swallow,Hirundo rustica
Swift,Apus apus
Tree Creeper,Certhia familiaris
Tree Sparrow,Passer montanus
Turtle Dove,Streptopelia turtur
Wheatear,Oenanthe oenanthe
Whitethroat,Sylvia communis
Willow Warbler,Phylloscopus trochilus
Woodlark,Lullula arborea
Woodpigeon,Columba palumbus
Wren,Troglodytes troglodytes
Yellowhammer,Emberiza citrinella
Fieldfare,Turdus pilaris
Redwing,Turdus iliacus
Siskin,Spinus spinus
